station,location,captureCode,bandSize,bandNumber,sppName,age_wrp,sex,IDADE.CEMAVE,datanew,CBRO
BOA2,BOA,R,C,110643,Poecilotriccus plumbeiceps,DCB,U,A,07/09/2023,TRUE
BOA3,BOA,R,C,117353,Basileuterus culicivorus,FCF,U,J,12/09/2023,TRUE
BOA3,BOA,R,D,169815,Ilicura militaris,DCB,F,A,12/09/2023,TRUE
BOA3,BOA,R,F,84554,Trichothraupis melanops,FCF,M,J,12/09/2023,NA
BOA1,BOA,R,H,93928,Turdus albicollis,DCB,M,A,14/10/2023,TRUE
BOA1,BOA,R,F,84526,Trichothraupis melanops,DCB,M,A,15/10/2023,NA
BOA1,BOA,R,C,80044,Neopelma chrysolophum,DCB,F,A,15/10/2023,TRUE
BOA1,BOA,R,C,80020,Platyrinchus mystaceus,DCB,M,A,15/10/2023,TRUE
BOA1,BOA,R,F,38223,Trichothraupis melanops,DCB,M,A,04/11/2023,NA
BOA1,BOA,R,D,169810,Leptopogon amaurocephalus,DCB,U,A,04/11/2023,TRUE
BOA1,BOA,R,C,80020,Platyrinchus mystaceus,FCF,M,J,04/11/2023,TRUE
BOA1,BOA,R,C,110631,Leptopogon amaurocephalus,DCB,U,A,04/11/2023,TRUE
BOA1,BOA,R,D,169884,Mionectes rufiventris,DCB,U,A,05/11/2023,TRUE
BOA1,BOA,R,F,68322,Philydor rufum,MFCF,U,J,05/11/2023,TRUE
BOA1,BOA,R,E,187668,Synallaxis cinerascens,FCJ,U,J,06/12/2023,TRUE
BOA1,BOA,R,E,187668,Leptopogon amaurocephalus,DPB,U,A,06/12/2023,TRUE
BOA1,BOA,R,D,167913,Dysithamnus mentalis,DCB,F,A,06/12/2023,TRUE
BOA1,BOA,R,D,169884,Mionectes rufiventris,DCB,U,A,06/12/2023,TRUE
BOA1,BOA,R,F,84590,Sclerurus scansor,DPB,U,A,07/12/2023,TRUE
BOA1,BOA,R,D,169803,Neopelma chrysolophum,DCB,F,A,07/12/2023,TRUE
BOA1,BOA,R,F,68322,Philydor rufum,DPB,U,A,07/12/2023,TRUE
BOA1,BOA,R,C,80020,Platyrinchus mystaceus,DPB,M,A,06/12/2023,TRUE
BOA1,BOA,R,F,84590,Sclerurus scansor,DPB,U,A,10/01/2024,TRUE
BOA1,BOA,R,D,169884,Mionectes rufiventris,DCB,U,A,10/01/2024,TRUE
BOA1,BOA,R,D,169831,Mionectes rufiventris,DCB,U,A,10/01/2024,TRUE
BOA1,BOA,R,F,84590,Sclerurus scansor,DPB,U,A,11/02/2024,TRUE
BOA1,BOA,R,E,187604,Chiroxiphia caudata,SPB,M,A,12/02/2024,TRUE
BOA1,BOA,R,D,169857,Basileuterus culicivorus,DCB,U,A,12/02/2024,TRUE
BOA1,BOA,R,C,70245,Leptopogon amaurocephalus,DPB,U,A,12/02/2024,TRUE
