Tringa melanoleuca
Tringa semipalmata
Tringa flavipes
Tringa totanus
Arenaria interpres
Calidris canutus
Calidris alba
Calidris pusilla
Calidris minutilla
Calidris fuscicollis
Calidris bairdii
Calidris melanotos
Calidris himantopus
Tryngites subruficollis
Philomachus pugnax
Phalaropus tricolor
Phalaropus fulicarius
Thinocoridae 
Thinocorus rumicivorus
Jacanidae 
Jacana jacana
Rostratulidae 
Nycticryphes semicollaris
Glareolidae 
Glareola pratincola
Stercorariidae 
Stercorarius skua
Stercorarius chilensis
Stercorarius maccormicki
Stercorarius antarcticus
Stercorarius pomarinus
Stercorarius parasiticus
Stercorarius longicaudus
Laridae 
Xema sabini
Chroicocephalus maculipennis
Chroicocephalus cirrocephalus
Leucophaeus atricilla
Leucophaeus pipixcan
Larus atlanticus
Larus delawarensis
Larus dominicanus
Larus fuscus
Sternidae 
Anous stolidus
Anous minutus
Gygis alba
Onychoprion fuscatus
Sternula antillarum
Sternula superciliaris
Phaetusa simplex
Gelochelidon nilotica
Chlidonias leucopterus
Chlidonias niger
Sterna hirundo
Sterna dougallii
Sterna paradisaea
Sterna hirundinacea
Sterna vittata
Sterna trudeaui
Thalasseus acuflavidus
Thalasseus maximus
Rynchopidae 
Rynchops niger
COLUMBIFORMES 
Columbidae 
Columbina passerina
Columbina minuta
Columbina talpacoti
Columbina squammata
Columbina picui
Columbina cyanopis
Claravis pretiosa
Claravis geoffroyi
Uropelia campestris
Columba livia
Patagioenas speciosa
Patagioenas picazuro
Patagioenas maculosa
Patagioenas fasciata
Patagioenas cayennensis
Patagioenas plumbea
Patagioenas subvinacea
Zenaida auriculata
Leptotila verreauxi
Leptotila rufaxilla
Geotrygon saphirina
Geotrygon violacea
Geotrygon montana
PSITTACIFORMES 
Psittacidae 
Anodorhynchus hyacinthinus
Anodorhynchus glaucus
Anodorhynchus leari
Cyanopsitta spixii
Ara ararauna
Ara macao
Ara chloropterus
Ara severus
Orthopsittaca manilata
Primolius maracana
Primolius couloni
Primolius auricollis
Diopsittaca nobilis
Guaruba guarouba
Aratinga acuticaudata
Aratinga leucophthalma
Aratinga nenday
Aratinga auricapillus
Aratinga jandaya
Aratinga solstitialis
Aratinga maculata
Aratinga weddellii
Aratinga aurea
Aratinga pertinax
Aratinga cactorum
Pyrrhura cruentata
Pyrrhura devillei
Pyrrhura frontalis
Pyrrhura lepida
Pyrrhura perlata
Pyrrhura molinae
Pyrrhura leucotis
Pyrrhura griseipectus
Pyrrhura pfrimeri
Pyrrhura picta
Pyrrhura lucianii
Pyrrhura roseifrons
Pyrrhura amazonum
Pyrrhura snethlageae
Pyrrhura egregia
Pyrrhura melanura
Pyrrhura rupicola
Myiopsitta monachus
Forpus passerinus
Forpus xanthopterygius
Forpus modestus
Brotogeris tirica
Brotogeris versicolurus
Brotogeris chiriri
Brotogeris cyanoptera
Brotogeris chrysoptera
Brotogeris sanctithomae
Nannopsittaca panychlora
Nannopsittaca dachilleae
Touit huetii
Touit purpuratus
Touit melanonotus
Touit surdus
Pionites melanocephalus
Pionites leucogaster
Pyrilia vulturina
Pyrilia aurantiocephala
Pyrilia barrabandi
Pyrilia caica
Pionopsitta pileata
Graydidascalus brachyurus
Alipiopsitta xanthops
Pionus menstruus
Pionus reichenowi
Pionus maximiliani
Pionus fuscus
Amazona festiva
Amazona vinacea
Amazona pretrei
Amazona kawalli
Amazona farinosa
Amazona brasiliensis
Amazona amazonica
Amazona autumnalis
Amazona dufresniana
Amazona rhodocorytha
Amazona ochrocephala
Amazona aestiva
Deroptyus accipitrinus
Triclaria malachitacea
OPISTHOCOMIFORMES 
Opisthocomidae 
Opisthocomus hoazin
CUCULIFORMES 
Cuculidae 
Coccycua minuta
Micrococcyx pumilus
Micrococcyx cinereus
Piaya cayana
Piaya melanogaster
Coccyzus melacoryphus
Coccyzus americanus
Coccyzus euleri
Coccyzus minor
Coccyzus erythropthalmus
Crotophaga major
Crotophaga ani
Guira guira
Tapera naevia
Dromococcyx phasianellus
Dromococcyx pavoninus
Neomorphus geoffroyi
Neomorphus squamiger
Neomorphus rufipennis
Neomorphus pucheranii
STRIGIFORMES 
Tytonidae 
Tyto alba
Strigidae 
Megascops choliba
Megascops watsonii
Megascops usta
Megascops atricapilla
Megascops sanctaecatarinae
Megascops guatemalae
Lophostrix cristata
Pulsatrix perspicillata
Pulsatrix koeniswaldiana
Bubo virginianus
Strix hylophila
Strix virgata
Strix huhula
Glaucidium hardyi
Glaucidium mooreorum
Glaucidium minutissimum
Glaucidium brasilianum
Athene cunicularia
Aegolius harrisii
Asio clamator
Asio stygius
Asio flammeus
CAPRIMULGIFORMES 
Steatornithidae 
Steatornis caripensis
Nyctibiidae 
Nyctibius grandis
Nyctibius aethereus
Nyctibius griseus
Nyctibius leucopterus
Nyctibius bracteatus
Caprimulgidae 
Nyctiphrynus ocellatus
Antrostomus rufus
Antrostomus sericocaudatus
Lurocalis semitorquatus
Hydropsalis leucopyga
Hydropsalis vielliardi
Hydropsalis nigrescens
Hydropsalis albicollis
Hydropsalis parvula
Hydropsalis whitelyi
Hydropsalis hirundinacea
Hydropsalis anomala
Hydropsalis candicans
Hydropsalis longirostris
Hydropsalis maculicauda
Hydropsalis cayennensis
Hydropsalis climacocerca
Hydropsalis torquata
Hydropsalis forcipata
Chordeiles pusillus
Chordeiles nacunda
Chordeiles minor
Chordeiles rupestris
Chordeiles acutipennis
APODIFORMES 
Apodidae 
Cypseloides cryptus
Cypseloides lemosi
Cypseloides fumigatus
Cypseloides senex
Streptoprocne phelpsi
Streptoprocne zonaris
Streptoprocne biscutata
Chaetura spinicaudus
Chaetura cinereiventris
Chaetura egregia
Chaetura pelagica
Chaetura chapmani
Chaetura viridipennis
Chaetura meridionalis
Chaetura brachyura
Aeronautes montivagus
Tachornis squamata
Panyptila cayennensis
Trochilidae 
Ramphodon naevius
Glaucis dohrnii
Glaucis hirsutus
Threnetes leucurus
Threnetes niger
Anopetia gounellei
Phaethornis squalidus
Phaethornis maranhaoensis
Phaethornis rupurumii
Phaethornis aethopyga
Phaethornis idaliae
Phaethornis nattereri
Phaethornis griseogularis
Phaethornis ruber
Phaethornis subochraceus
Phaethornis augusti
Phaethornis pretrei
Phaethornis eurynome
Phaethornis hispidus
Phaethornis philippii
Phaethornis bourcieri
Phaethornis superciliosus
Phaethornis malaris
Phaethornis margarettae
Doryfera johannae
Campylopterus largipennis
Campylopterus hyperythrus
Campylopterus duidae
Eupetomena macroura
Aphantochroa cirrochloris
Florisuga mellivora
Florisuga fusca
Colibri delphinae
Colibri coruscans
Colibri serrirostris
Anthracothorax viridigula
Anthracothorax nigricollis
Avocettula recurvirostris
Topaza pella
Topaza pyra
Chrysolampis mosquitus
Stephanoxis lalandi
Lophornis ornatus
Lophornis gouldii
Lophornis magnificus
Lophornis chalybeus
Lophornis pavoninus
Discosura langsdorffi
Discosura longicaudus
Chlorostilbon notatus
Chlorostilbon mellisugus
Chlorostilbon lucidus
Thalurania furcata
Thalurania watertonii
Thalurania glaucopis
Hylocharis sapphirina
Hylocharis cyanus
Hylocharis chrysura
Chrysuronia oenone
Leucochloris albicollis
Polytmus guainumbi
Polytmus theresiae
Leucippus chlorocercus
Amazilia chionogaster
Amazilia leucogaster
Amazilia versicolor
Amazilia rondoniae
Amazilia brevirostris
Amazilia fimbriata
Amazilia lactea
Amazilia viridigaster
Clytolaema rubricauda
Heliodoxa xanthogonys
Heliodoxa schreibersii
Heliodoxa aurescens
Augastes scutatus
Augastes lumachella
Heliothryx auritus
Heliactin bilophus
Heliomaster longirostris
Heliomaster squamosus
Heliomaster furcifer
Calliphlox amethystina
TROGONIFORMES 
Trogonidae 
Trogon melanurus
Trogon viridis
Trogon ramonianus
Trogon surrucura
Trogon violaceus
Trogon curucui
Trogon rufus
Trogon collaris
Trogon personatus
Pharomachrus pavoninus
CORACIIFORMES 
Alcedinidae 
Megaceryle torquata
Chloroceryle amazona
Chloroceryle aenea
Chloroceryle americana
Chloroceryle inda
Momotidae 
Electron platyrhynchum
Baryphthengus martii
Baryphthengus ruficapillus
Momotus momota
GALBULIFORMES 
Galbulidae 
Galbalcyrhynchus leucotis
Galbalcyrhynchus purusianus
Brachygalba albogularis
Brachygalba lugubris
Jacamaralcyon tridactyla
Galbula albirostris
Galbula cyanicollis
Galbula ruficauda
Galbula galbula
Galbula tombacea
Galbula cyanescens
Galbula chalcothorax
Galbula leucogastra
Galbula dea
Jacamerops aureus
Bucconidae 
Notharchus hyperrhynchus
Notharchus macrorhynchos
Notharchus swainsoni
Notharchus ordii
Notharchus tectus
