"captureId","station","data","netNumber","captureTime","bander","captureCode","bandSize","bandNumber","sppCode","sppName","notes","brood_patch_OAMa","cloacal_protuberance_OAMa","body_molt_OAMa","fat_OAMa","juvenal_feather_OAMa","pp_wear_OAMa","skull_OAMa","molt_limit_OAMa","age_wrp","age_criteria","sex","sex_criteria","flight_feather_molt_OAMa","status","wing_chord","weight_grams","bill_estriation","age_criteria_2","tail_length","r2_length","molt_description","molt_limit_OAMa_2","sex_criteria_2","tail_shape","iris_color","crown_size","tarsus","nares_to_tip","iris_color_2","crown_color","molt_description_2","previr_number","total_length","previr_number_2","lower_mandibule_color","sex_criteria_3","total_length_2","age_criteria_3","r2_length_2","bill_width","old_bandnumber","color_band","band_code","crown_color_2","molt_limit_OAMa_3","bill_estriation_2","iris_color_3","tail_length_2","tick_sample","tick_sample_2","color_band_2","r1_length","wing_chord_2","weight_grams_2","nares_to_tip_2","tarsus_2","wing_chord_3","weight_grams_3","tail_length_3","nares_to_tip_3","tarsus_3","molt_description_3","crown_color_3","bill_interior_color","bill_interior_color_2","bill_interior_color_3","crown_size_2","crown_size_3","r2_length_3","upper_mandibule_color","upper_mandibule_color_2","lower_mandibule_color_2","upper_mandibule_color_3","lower_mandibule_color_3","tick_sample_3","bill_width_2","bill_width_3","white_on_s5","white_on_s5_2","white_on_s5_3","pox_presence","r5_length","p10-ppcov","exposed_culmen"
"4690","BOA2","2023-07-18","9","073","DSS","R","D","132385","RHOGUL","Rhopias gularis","liberado por sinais de estresse","0","0","0","0","1","4","NA","G","FCF","L","U","U","0","N","NA","NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4691","BOA2","2023-07-18","17","073","CAR","N","D","169839","BASCUL","Basileuterus culicivorus","","0","0","0","0","1","1","5","G","FCF","L","U","U","0","N","54","9.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","242","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4692","BOA2","2023-07-18","8","073","CAR","R","D","169818","DYSMEN","Dysithamnus mentalis","","0","0","1","1","1","1","5","G","FCF","L","M","P","0","N","59","2.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4693","BOA2","2023-07-18","10","075","PAT","N","D","169840","TANDES","Tangara desmaresti","","0","0","0","3","0","1","5","N","DCB","O","U","U","0","N","67","19.0","","P","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4694","BOA2","2023-07-18","2","094","DSS","N","F","84549","TRIMEL","Trichothraupis melanops","","0","0","0","1","1","1","5","G","FCF","L","M","P","0","N","79","22.2","","","","","","","","","","","","","","yellow","","","","","","","","","","","","","","","","","","","245","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4695","BOA2","2023-07-18","12","090","LWO","R","C","43877","SITGRI","Sittasomus griseicapillus","","0","0","0","0","0","1","2","N","MFCF","P","U","U","0","N","17","13.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","244","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4696","BOA2","2023-07-18","11","082","CAR","R","C","103243","PLAMYS","Platyrinchus mystaceus","","0","0","0","0","0","3","5","N","DCB","P","M","P","0","N","54","12.9","","O","","","","","","","","","","","","YELLOW","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4697","BOA2","2023-07-18","3","090","PAT","R","D","132389","NEOCHR","Neopelma chrysolophum","","0","0","0","0","0","1","5","N","DCB","P","U","U","0","N","65","20.2","","O","","","","","","","","","","","","YELLOW","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4698","BOA2","2023-07-18","1","090","FJC","R","C","110609","PLAMYS","Platyrinchus mystaceus","","0","0","0","0","0","1","5","N","DCB","P","M","P","0","N","57","9.3","","O","","","","","","","","","","","","YELLOW","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4699","BOA2","2023-07-18","8","102","LWO","N","G","55664","SALSIM","Saltator similis","","0","0","0","0","0","1","5","N","DCB","P","U","U","0","N","103","48.5","","O","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
